ชื่อ,น้ำหนัก,PCV,PCv donor,PCV เป้าหมาย,PCV after donation
ไข่เขียว,11.5,21,59.9,43.10801932,38
เปาดำหญิง1,6.3,9.4,60.3,30,30
May(Soidog),17.1,14.6,39.7,22.75152697,21.6
สปาค,23.4,20,55,28,28
,25,18,54,30,31
,25,17.1,46,25.27777778,24.3
,22.3,15,48,23.37070254,21.7
,22.3,13,57,26.88789238,29
ออสซี่,17.5,14.2,49.7,20.51111111,15.6
ดำ,16,7.6,54.9,19.0375,11.2
Smurf,14.5,14.7,43.1,22.95670498,19.7
แรมโบ้,22.7,12,44,18.5,15
โชคดี,14.8,28,44,36.9,47.8
ไข่ตุ๋น,4.8,7.7,43.2,26.2,32.4
ลัคกี้,26.1,11.1,42,14,14.8
,18.47222222,14,38,22,18.4
เหอพิง,14,14,59.7,23,18
เชาเชา,6.6,15,51,30,20.5
ไข่,18.6,23,34,28.48387097,24
ไข่ต้ม,9.1,22.3,47,25,17
มีมี่,7.7,11.3,46,23.91183261,16
มะเขือ,18,18,51,20.83333333,22
