weight,PCV,PCv donor,PCV expected,PCV after donation,Volume
11.5,21,59.9,43.10801932,38,382
6.3,9.4,60.3,30,30,300
17.1,14.6,39.7,22.75152697,21.6,316
23.4,20,55,28,28,200
25,18,54,30,31,500
25,17.1,46,25.27777778,24.3,400
22.3,15,48,23.37070254,21.7,350
22.3,13,57,26.88789238,29,489
17.5,14.2,49.7,20.51111111,15.6,200
16,7.6,54.9,19.0375,11.2,300
14.5,14.7,43.1,22.95670498,19.7,250
22.7,12,44,18.5,15,300
14.8,28,44,36.9,47.8,210
4.8,7.7,43.2,26.2,32.4,185
26.1,11.1,42,14,14.8,294
18.47222222,14,38,22,18.4,350
14,14,59.7,23,18,140
6.6,15,51,30,20.5,170
18.6,23,34,28.48387097,24,270
9.1,22.3,47,25,17,200
7.7,11.3,46,23.91183261,16,190
18,18,51,20.83333333,22,90
3.4,10,57,28.62745098,23.6,100
5.2,9.7,57,21.87948718,15.1,100
9.1,2.4,56,16.07521368,7.6,200
16,7.9,42.5,16.75416667,12.3,300
8.2,12.9,46,34.71571816,36.7,350
13,14.8,55,29.84273504,23.5,320
3.8,5.7,55,26.60643275,26.5,130
37,16,47.5,20.99249249,17.9,350
23.3,11.2,45,18.71072961,17,350
15,10.2,48,20.86666667,24.4,300
15.5,11.3,55,27.07060932,22.7,400
4.1,10,46,19.97289973,20,80
27,8.7,45,12.4037037,13.4,200
16.3,9,50,19.22494888,18.7,300
30,8.7,49.8,14.23333333,19.5,300
3.8,7.2,59,17.55087719,9.7,60
6,8.7,58.8,28.3,17,180
27,19.4,52,28.28888889,27.5,240
16.3,13.6,56,25.05194274,20.2,300
5.6,13.9,48.9,21.66190476,19.5,80
11,5,53.3,18.45959596,20.1,250
24.4,10.6,42,17.29398907,17.3,350
37.3,16.4,59,22.55132559,16.7,350
40.7,29.9,41.3,34.40996451,28.8,400
22,14.1,43,20.61515152,20.6,300
9.2,7.4,51.3,19.35652174,21.6,110
2.56,7.1,52,29.66944444,25.2,100
13.5,14,52.8,31.38271605,19,400
15.25,21.4,48.9,32.08852459,27.1,300
17,17,57.9,30.24509804,31.5,350
27,14.3,55,22.2218107,17,350
12,21,56.6,50.16666667,37.4,350
3.2,9,51.3,19.6875,16,60
2.7,7.5,51,36.88271605,40,140
6,10.5,44.9,38.83333333,18.5,170
20,10.6,55.4,24.45,21.1,450
16.75,14.9,47.5,25.92819237,19,350
15,11.1,50,22.21111111,18.6,300
13,10.1,51,22.40769231,21.7,160
12.2,12.2,54.2,29.47686703,30.1,350
6,6.4,51.2,31.4,19.1,150
13,9.1,51.3,26.63846154,15.7,400
18,7.5,48,17.87037037,16.1,350
18,7.5,53,18.95061728,13.6,350
23,8.5,52.8,17.19565217,14.6,200
2.55,18.9,43,32.01546841,41,70
14.2,10.5,49.3,27.85915493,22.4,450
15.8,11.8,53,22.9814346,15.2,300
17,26,44,34.62745098,37,300
15.2,17.9,52.6,28.66608187,23,280
25.6,22.3,49,29.74357639,25.6,350
19,16,53.1,25.31578947,27.9,300
3,18,53.1,37.66666667,23.9,100
26,13,51.2,19.56410256,17,300
3,7.2,48,24.97777778,22.8,100
18.6,8.1,42,19.39032258,21.7,450
10,16,50,27.11111111,30,200
10.8,11.5,50,18.70164609,27,140
4.6,12,55,25.28502415,20.5,100
26,6.8,53.3,17.05,19,450
13,14.2,36,21.89230769,17,250
5.31,11.8,40,16.10454668,18.3,40
1.3,15.7,49.9,49.81965812,28.7,80
5.2,11.8,36,17.73406593,16.2,60
6.5,13.1,47.9,29.47606838,28.9,200
38,11.3,48.4,16.96081871,18.6,400
12.8,19.6,45,31.31875,31.2,300
2.9,22.7,47.9,41.05249042,35.4,100
58,37.2,47.7,39.94137931,37.7,300
4.7,11.8,41,18.03100304,16.1,50
