No,Date,OPD,Name,Gender,Age,Bleed,Weight,PCV,WBC,"PLT
______",Creatinine,ALT,Snap4Dx,PLATELETS,HGB,RBC,MCV,MCHC,MCH,SEGS,LYMPH,MONO,PROTEIN (REFRACT),RDW,"________
(_______)","____ file
(_______)",crossmatch_result,donor_name,"PCV
donor",product,Volume,"________
(___ file _________)",PCV_target,PCV_Sucess,PCV_afterdonation,WBC_afterdoantion,"________
(_______)","____ file
(_______)"
43,7-Jan-16,59000086,หมี,M,0,CROSSBREED,3.4,10,12.77,24,,,,24,2.7,1.26,79.37,27,21.43,63.1,18.7,17.9,5.2,24,PCV 11,_b59\1.txt,ผ่าน,ฝ้าย,57,SWB,100,,28.62745098,23.6,23.6,9.05,PCV 24,_a59\1.txt
44,20-Jan-16,59000236,โอยั้ว,F,0,CROSSBREED,5.2,9.7,16.83,156,6.34,,,156,3.1,1.65,58.79,31.96,18.79,72.9,17.2,9.2,6.2,14.1,0,_b59\4.txt,ผ่าน,ฝ้าย,57,SWB,100,,21.87948718,15.1,15.1,12.08,pcv 14,_a59\4.txt
45,5-Feb-16,58000859,Filou,M,0,SHIH TZU,9.1,2.4,46.47,42,,,,42,2.8,0.22,109.09,116.67,127.27,88.5,21,10.9,6.8,16.5,0,_b59\5.txt,ผ่าน,ลีวาย,56,PRC,200,IMHA,16.07521368,7.6,4.2,47.6,0,_a59\5.txt
46,13-Feb-16,58005333,หมีด่าง,M,0,CROSSBREED,16,7.9,15.23,361,,,,361,1.9,1.28,61.72,24.05,14.84,85.3,8.2,5.9,5.4,26,0,_b59\6.txt,ผ่าน,กุ๊กกู๋,42.5,SWB,300,,16.75416667,12.3,12.3,14.26,0,_a59\6.txt
47,13-Mar-16,59001131,ยูโร่,M,0,POMERANIAN,1,13.2,36.24,162,,,,162,4,1.7,77.65,30.3,23.53,87.7,7.9,4.1,5.4,15,0,b59\11.txt,ผ่าน,ลูกชิด,90,PRC,30,การเก็บเลือดผิดพลาด,43.2,46.3,46.3,40.57,0,a59\11.txt
49,17-Feb-16,59000758,หมูหยอง,M,0,SIBERIAN HUSKY,8.2,12.9,72.6,45,,,,45,3.8,10,81.65,29.46,24.05,93.1,1,5.9,5.6,45,0,_b59\8.txt,ผ่าน,ก้านยาว,46,SWB,350,,34.71571816,36.7,36.7,85.86,0,_a59\8.txt
50,20-Feb-16,58005214,ซันเดย์,F,,SHIH TZU,5,10,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,ใหญ่,90,PRC,100,,30,23.9,23.9,,,
51,12-Mar-16,59001135,เฟอร์บี้,F,0,PUG,11,9.6,26.85,239,,,,239,2.9,1.33,72.18,30.21,21.8,71.9,20.4,6.5,5.8,18,0,b59\10.txt,ผ่าน,ใหญ่,90,PRC,180,,25.96363636,21.6,21.6,32.72,0,a59\10.txt
52,26-Feb-16,59000894,จีน่า,F,0,THAI BANGKAEW,13,14.8,11.53,94,,,,94,4.4,1.97,75.13,29.73,22.34,91.7,3.4,3.1,5.8,14.3,0,_b59\9.txt,ผ่าน,บุญเลิศ,55,SWB,320,,29.84273504,23.5,23.5,18.5,0,_a59\9.txt
53,14-Mar-16,59001147,ไข่เจียว,M,0,CROSSBREED,3.8,5.7,16.48,6,,,,6,1.7,0.73,78.08,29.82,23.29,60.3,22.9,16.6,6.2,14.5,0,b59\12.txt,ผ่าน,บุญเลิศ,55,SWB,130,,26.60643275,26.5,26.5,12.28,0,a59\12.txt
